averageDensity,averageTotalMS,averageChecks,averageChecksPerBoid,numBoids,leafCapacityOrCellSize,searchAlgo
9.717641,9.158522,6257.68359,12.5153694,500,1,QUADTREE
9.947987,7.39144135,6850.143,13.700284,500,2,QUADTREE
9.802363,5.793214,7554.03271,15.1080656,500,4,QUADTREE
9.449357,4.10334,8355.318,16.7106266,500,8,QUADTREE
10.3851376,3.35956359,11296.9258,22.5938587,500,16,QUADTREE
9.812215,2.80343723,15288.2061,30.57639,500,32,QUADTREE
9.511759,2.786156,24696.9531,49.39391,500,64,QUADTREE
10.7120838,3.47737837,47705.83,95.41172,500,128,QUADTREE
10.2295122,4.46500969,80446.09,160.892227,500,256,QUADTREE
10.3165522,10.5258322,241976.875,483.953217,500,512,QUADTREE
9.568129,10.5765085,241816.516,483.633148,500,1024,QUADTREE
9.576439,8.523262,249501.234,499,500,0,BF
8.143074,1.06589639,8718.367,11.62449,750,4,UNIFORMGRID
12.5507593,1.63147378,18622.59,24.830122,750,8,UNIFORMGRID
13.141099,2.38016486,36411.6523,48.5488663,750,16,UNIFORMGRID
13.6679554,3.15364623,57913.71,77.21828,750,24,UNIFORMGRID
13.12412,5.656426,126537.992,168.717361,750,40,UNIFORMGRID
12.6644363,12.9135323,330382.563,440.510162,750,80,UNIFORMGRID
12.5838261,18.7224312,491583.969,655.4452,750,120,UNIFORMGRID
11.534606,21.1961365,561751.5,749,750,240,UNIFORMGRID
13.3385839,21.2070751,561751.5,749,750,480,UNIFORMGRID
13.5705872,21.147953,561751.5,749,750,800,UNIFORMGRID
13.9981079,21.1445847,561751.5,749,750,1600,UNIFORMGRID
12.6587076,17.0410919,12477.5313,16.6367168,750,1,QUADTREE
14.2720518,14.4192886,15176.2871,20.2350426,750,2,QUADTREE
13.7370672,10.6307354,16024.418,21.36589,750,4,QUADTREE
12.2011147,7.38687372,16793.31,22.3910789,750,8,QUADTREE
12.998105,6.033238,21046.1055,28.0614643,750,16,QUADTREE
11.8169022,4.92781353,27652.8438,36.8704453,750,32,QUADTREE
13.4388237,5.278859,46554.59,62.07278,750,64,QUADTREE
12.3296719,5.53374672,69640.65,92.85418,750,128,QUADTREE
12.6414309,8.607273,165308.922,220.411743,750,256,QUADTREE
12.90971,8.823792,170581.438,227.441849,750,512,QUADTREE
12.814065,23.5348587,549694.75,732.927368,750,1024,QUADTREE
