averageDensity,averageTotalMS,averageChecks,averageChecksPerBoid,mapSize,leafCapacityOrCellSize,searchAlgo
4.4300046,11.7718058,304172.1,304.17218,250,50,UNIFORMGRID
4.524412,23.1184978,618437.063,618.4369,250,75,UNIFORMGRID
4.145933,36.748188,999000,999,250,150,UNIFORMGRID
4.31888151,43.9559746,1199958.88,1199.9585,250,300,UNIFORMGRID
4.754786,36.6293678,999000,999,250,500,UNIFORMGRID
4.542341,36.6770363,999000,999,250,1000,UNIFORMGRID
4.217072,14.0439653,7140.481,7.140479,250,1,QUADTREE
4.15813,11.3010645,8032.94775,8.032947,250,2,QUADTREE
4.250797,9.229073,9971.651,9.971652,250,4,QUADTREE
4.35733747,7.33804035,13269.9766,13.2699738,250,8,QUADTREE
4.18430042,6.01056862,18277.56,18.2775631,250,16,QUADTREE
4.353917,5.55738735,29459.56,29.4595623,250,32,QUADTREE
4.23369741,5.64911652,49483.2266,49.4832268,250,64,QUADTREE
3.90395713,6.32925463,84260.21,84.2601852,250,128,QUADTREE
4.203961,9.67608,181240.563,181.240463,250,256,QUADTREE
4.35124,12.7763729,270190.875,270.1909,250,512,QUADTREE
4.274463,40.13154,972916.8,972.917053,250,1024,QUADTREE
1.26598871,0.7613396,6158.05029,6.158052,300,2,UNIFORMGRID
3.5111382,1.091008,10907.8828,10.9078817,300,5,UNIFORMGRID
3.52454376,1.52439082,18895.8281,18.895834,300,10,UNIFORMGRID
3.62351656,1.966035,30692.1875,30.6921825,300,15,UNIFORMGRID
3.56903815,3.08794284,62299.9727,62.29998,300,25,UNIFORMGRID
3.48682046,8.313046,207939.969,207.939972,300,50,UNIFORMGRID
3.58925152,15.3111629,403556.9,403.556915,300,75,UNIFORMGRID
3.57955265,32.84668,892057.3,892.057,300,150,UNIFORMGRID
3.69270182,45.0637436,1234890.63,1234.8905,300,300,UNIFORMGRID
3.95123935,36.5432549,999000,999,300,500,UNIFORMGRID
3.791768,36.5748329,999000,999,300,1000,UNIFORMGRID
3.643274,13.0759068,6183.806,6.18380642,300,1,QUADTREE
3.410598,10.27899,6544.25635,6.54425526,300,2,QUADTREE
3.545999,8.303874,8257.883,8.257883,300,4,QUADTREE
3.36513042,6.69385052,10622.9375,10.6229334,300,8,QUADTREE
3.46886659,5.609884,16444.1914,16.444191,300,16,QUADTREE
3.64525723,5.2329464,26925.8555,26.925848,300,32,QUADTREE
3.48297882,5.475636,52054.22,52.0542145,300,64,QUADTREE
3.441741,6.040927,78727.88,78.72788,300,128,QUADTREE
3.52809954,8.737736,156735.469,156.735428,300,256,QUADTREE
3.673749,12.9455118,273602.969,273.602966,300,512,QUADTREE
3.67283416,40.41928,982992,982.991943,300,1024,QUADTREE
0.992728531,0.7933879,5583.378,5.583375,350,2,UNIFORMGRID
3.26972914,1.12525916,10005.7158,10.0057135,350,5,UNIFORMGRID
3.155124,1.37546778,15411.8516,15.4118528,350,10,UNIFORMGRID
3.05057025,1.65835953,22765.7988,22.765789,350,15,UNIFORMGRID
2.98277926,2.490602,45302.12,45.3021431,350,25,UNIFORMGRID
3.09266663,6.60196924,160321.109,160.321075,350,50,UNIFORMGRID
2.97219753,12.1801,315096.656,315.09668,350,75,UNIFORMGRID
3.121763,27.45996,739991.9,739.9916,350,150,UNIFORMGRID
3.10547781,36.74195,999000,999,350,300,UNIFORMGRID
