averageDensity,averageTotalMS,averageChecks,averageChecksPerBoid,mapSize,leafCapacityOrCellSize,searchAlgo
0.81484,4.77692032,45459.1563,45.4591522,900,64,QUADTREE
0.83436954,5.253591,66372.63,66.3726044,900,128,QUADTREE
0.8592263,11.0384588,229527.4,229.527374,900,256,QUADTREE
0.8862306,11.8360138,252872.453,252.872421,900,512,QUADTREE
0.808236539,40.373024,990261.4,990.261658,900,1024,QUADTREE
0.203215346,0.636054158,1706.16406,1.7061646,950,2,UNIFORMGRID
0.8409476,0.825059235,3954.18286,3.95418119,950,5,UNIFORMGRID
0.8954137,0.8674085,6027.008,6.02700758,950,10,UNIFORMGRID
0.803369462,0.918157339,7537.95557,7.537956,950,15,UNIFORMGRID
0.7965211,1.04005384,10682.4658,10.6824713,950,25,UNIFORMGRID
0.8723633,1.60641444,24980.4883,24.9804974,950,50,UNIFORMGRID
0.8110822,2.48060131,50150.89,50.15087,950,75,UNIFORMGRID
0.799881637,6.761773,170508.453,170.508545,950,150,UNIFORMGRID
0.7687583,18.9192562,510415.375,510.41507,950,300,UNIFORMGRID
0.677878737,37.6799126,922549.438,922.549744,950,500,UNIFORMGRID
0.8208099,45.3474,1253700,1253.7,950,1000,UNIFORMGRID
0.713467,7.310747,1387.23181,1.38723159,950,1,QUADTREE
0.693343163,6.360547,1741.94336,1.74194252,950,2,QUADTREE
0.777732253,5.532283,2957.7,2.95770025,950,4,QUADTREE
0.73245,4.829478,5053.61572,5.05361843,950,8,QUADTREE
0.7443508,4.411322,10232.5635,10.2325611,950,16,QUADTREE
0.748338461,4.215589,18189.0156,18.1890049,950,32,QUADTREE
0.704903841,4.64180136,40886.68,40.886692,950,64,QUADTREE
0.781303465,5.26812124,66671.58,66.67152,950,128,QUADTREE
0.766504049,10.37468,211978.672,211.978653,950,256,QUADTREE
0.7120603,11.8025551,252748.609,252.74852,950,512,QUADTREE
0.761977,40.30314,988293.6,988.2938,950,1024,QUADTREE
0.17047812,0.6215627,1584.89209,1.5848918,1000,2,UNIFORMGRID
0.8415121,0.832434535,3725.577,3.725577,1000,5,UNIFORMGRID
0.874774933,0.8639761,5772.17725,5.772175,1000,10,UNIFORMGRID
0.832933843,0.916150153,7488.541,7.48854256,1000,15,UNIFORMGRID
0.805084646,1.01382387,10269.5381,10.2695379,1000,25,UNIFORMGRID
0.781703234,1.52677178,23404.6719,23.404665,1000,50,UNIFORMGRID
0.7710026,2.292505,45082.3633,45.0823555,1000,75,UNIFORMGRID
0.676784039,6.314785,158235.063,158.235,1000,150,UNIFORMGRID
0.7418069,18.1620216,490391.7,490.3914,1000,300,UNIFORMGRID
0.7518082,32.60353,894672.5,894.6727,1000,500,UNIFORMGRID
0.7896332,46.2535934,1279140.5,1279.14087,1000,1000,UNIFORMGRID
0.6597688,7.17321539,1270.57935,1.27057886,1000,1,QUADTREE
0.7313688,6.38278151,1736.216,1.73621559,1000,2,QUADTREE
0.695025563,5.441691,2784.49048,2.78448987,1000,4,QUADTREE
0.721173048,4.80509949,4976.06934,4.97607,1000,8,QUADTREE
0.5878686,4.373207,10510.11,10.5101166,1000,16,QUADTREE
0.6829725,4.18325567,17876.1719,17.8761711,1000,32,QUADTREE
0.702186763,4.574101,38449,38.4490051,1000,64,QUADTREE
0.6880477,5.242727,66395.09,66.39509,1000,128,QUADTREE
0.6021041,9.479414,186617.484,186.617477,1000,256,QUADTREE
0.6375582,11.8188009,253611.984,253.612,1000,512,QUADTREE
0.688030541,40.3507347,991023.4,991.023743,1000,1024,QUADTREE
