0.0114648947,0.01249357,134.7703,0.134770289118.701279,8.619778,122130.781,122.130783
61.33469,4.820719,63139.7344,63.1397324
44.8144531,6.0006485,105064.648,105.064644
35.5678635,8.790823,185991.844,185.991852
28.59114,7.3178215,153335.938,153.335938
23.0387669,5.66986847,120678.422,120.678421
7.48574066,1.90653479,41315.3945,41.3153954
6.98818064,1.8296752,39190.36,39.19036
9.027828,2.42017484,49575.25,49.57525
5.75522232,1.51974344,8948.161,8.948161
5.31186247,1.02798724,11054.4795,11.05448
4.540524,1.015726,12116.3877,12.1163883
4.602186,1.01226509,15114.8564,15.11485674.53151226,1.1799767,19975.2188,19.9752178
